Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll ,UTM_X,UTM_Y,Pixel_Col,Pixel_Row,Band_1,Band_2,Band_3,Band_4,Band_5
-117.8113123,34.0435326,N=1,18.0,5.0,0.2943729,3.0,28.3,425114.36737339164,3767279.6289566946,4808,1224,0.028199447,0.041026127,0.044321604,0.07783171,0.0813017
-117.8113324,34.0435407,N=2,15.0,9.0,0.56218493,3.0,16.2,425112.5191798056,3767280.5418173755,4685,1164,0.02633362,0.040525388,0.03257145,0.09840385,0.11621947
-117.8113418,34.0435396,N=3,18.0,7.0,0.49725583,2.0,24.9,425111.65055361536,3767280.426724813,4628,1172,0.028809253,0.045127288,0.035563752,0.096511275,0.10591477
-117.8114669,34.0436146,N=4,15.0,3.0,0.27928582,3.0,25.6,425100.16924246436,3767288.834502128,3870,616,0.030374384,0.045251355,0.048321716,0.08337686,0.08577226
-117.811489,34.0435812,N=5,11.0,0.0,0.17373763,5.0,9.6,425098.0999555491,3767285.1471854076,3733,860,0.015231072,0.018644357,0.01971832,0.026838882,0.028010635
-117.8114863,34.0435801,N=6,36.0,0.0,0.3753643,2.0,28.3,425098.3482095393,3767285.0232379497,3749,868,0.014235404,0.023901036,0.023576252,0.04699188,0.051911756
-117.8114424,34.0435579,N=7,23.0,3.0,0.17881227,3.0,31.0,425102.38084291527,3767282.5295054484,4016,1033,0.026583867,0.03499432,0.03556634,0.048714377,0.051055364
-117.811371,34.0435093,N=8,34.0,6.0,0.16728792,2.0,25.8,425108.9286348578,3767277.0883387495,4448,1392,0.030683002,0.040256165,0.04274891,0.060683727,0.059925016
-117.8113519,34.0434854,N=9,32.0,8.0,0.13489878,2.0,31.3,425110.6706350444,3767274.4242579816,4563,1568,0.032330066,0.04587068,0.0533294,0.067458645,0.069961146
-117.8114149,34.0435234,N=10,23.0,9.0,0.29773444,2.0,37.4,425104.8888763042,3767278.6839161655,4181,1287,0.025453778,0.035535086,0.034669884,0.060581855,0.064067364
-117.8114893,34.043581,N=11,21.0,4.0,0.20304278,3.0,25.8,425098.0720884617,3767285.1252283864,3731,861,0.01572759,0.019612985,0.019281277,0.025656343,0.029105956
-117.8115172,34.0435607,N=12,31.0,2.0,0.26503786,3.0,28.4,425095.47895417304,3767282.8947245223,3560,1008,0.02651581,0.036394898,0.03594467,0.061783638,0.061868995
-117.8115188,34.0435471,N=13,28.0,2.0,0.43569547,3.0,21.5,425095.3193094957,3767281.387886976,3549,1108,0.027085625,0.04027022,0.037097327,0.086841986,0.09438249
