Date,Red,Green,Blue,Chlorophyll,Plant Health
09.20.2024,0,0,0,28.3,3.0
09.20.2024,151,130,109,16.2,3.0
09.20.2024,157,141,119,24.9,2.0
09.20.2024,88,79,65,25.6,3.0
09.20.2024,78,101,52,9.6,5.0
09.20.2024,54,80,22,28.3,2.0
09.20.2024,167,141,122,31.0,3.0
09.20.2024,69,82,58,25.8,2.0
09.20.2024,95,110,81,31.3,2.0
09.20.2024,124,113,105,37.4,2.0
09.20.2024,93,121,72,25.8,3.0
09.20.2024,156,151,145,28.4,3.0
09.20.2024,127,131,108,21.5,3.0
09.20.2024,151,146,141,25.1,2.0
09.20.2024,141,181,121,22.4,3.0
09.20.2024,124,149,118,12.0,2.0
09.20.2024,144,176,112,26.0,3.0
09.20.2024,137,133,128,27.5,2.0
09.20.2024,114,140,105,20.1,3.0
09.20.2024,150,143,130,26.3,2.0
09.20.2024,52,58,38,22.5,3.0
09.20.2024,168,158,153,29.5,3.0
09.20.2024,158,140,130,31.7,2.0
09.20.2024,120,108,97,25.7,2.0
09.20.2024,122,125,111,35.3,3.0
09.20.2024,76,64,54,21.3,3.0
09.20.2024,140,139,126,23.6,3.0
09.20.2024,138,136,131,34.8,2.0
09.20.2024,107,124,98,27.0,2.0
09.20.2024,32,40,15,32.1,2.0
09.20.2024,112,109,101,28.3,3.0
09.20.2024,91,94,79,24.7,2.0
09.20.2024,87,91,84,26.2,2.0
09.20.2024,84,63,45,18.5,3.0
09.20.2024,103,102,80,20.0,4.0
09.20.2024,0,0,0,23.0,3.0
09.20.2024,0,0,0,21.5,2.0
10.04.2024,0,0,0,41.4,2.0
10.04.2024,0,0,0,29.6,3.0
10.04.2024,77,69,67,40.7,22.0
10.04.2024,93,104,72,33.5,4.0
10.04.2024,43,51,29,40.1,1.0
10.04.2024,105,113,88,41.5,3.0
10.04.2024,166,155,162,39.4,4.0
10.04.2024,27,38,25,40.1,2.0
10.04.2024,27,38,25,38.9,3.0
10.04.2024,68,63,48,41.6,3.0
10.04.2024,136,125,138,21.5,4.0
10.04.2024,41,42,47,36.0,3.0
10.04.2024,111,111,98,28.1,
10.04.2024,31,38,25,38.3,32.0
10.04.2024,101,79,72,35.3,
10.04.2024,56,45,45,32.8,2.0
10.04.2024,65,57,51,28.5,32.0
10.04.2024,113,100,103,34.5,3.0
10.04.2024,83,67,59,39.4,2.0
10.04.2024,80,95,43,39.8,1.0
10.04.2024,77,77,85,30.9,3.0
10.04.2024,84,87,84,35.7,3.0
10.04.2024,125,124,129,36.2,2.0
10.04.2024,70,65,67,25.0,4.0
10.04.2024,99,108,82,31.4,4.0
10.04.2024,53,66,27,36.0,3.0
10.04.2024,62,57,52,35.5,2.0
10.04.2024,52,45,39,33.8,3.0
10.04.2024,49,61,38,35.5,2.0
10.04.2024,70,78,70,33.7,3.0
10.04.2024,135,123,119,36.2,3.0
10.04.2024,92,86,92,35.0,3.0
10.04.2024,25,30,37,32.5,3.0
10.04.2024,46,57,42,36.9,3.0
10.04.2024,132,122,112,33.5,2.0
10.04.2024,132,125,126,34.7,3.0
10.04.2024,76,68,48,35.6,3.0
10.04.2024,0,0,0,39.7,2.0
10.04.2024,0,0,0,38.7,2.0
10.04.2024,50,53,29,37.7,3.0
10.04.2024,66,70,47,33.1,3.0
10.04.2024,20,21,5,44.5,3.0
10.04.2024,101,80,64,32.5,3.0
10.04.2024,27,29,27,32.2,2.0
10.04.2024,88,80,87,34.2,2.0
10.04.2024,97,81,64,30.0,4.0
10.04.2024,81,81,70,39.0,3.0
10.04.2024,156,153,120,40.4,3.0
10.04.2024,0,0,0,36.8,2.0
10.04.2024,0,0,0,39.4,4.0
10.11.2024,98,95,80,36.6,2.0
10.11.2024,122,104,85,36.0,1.0
10.11.2024,212,203,172,39.2,2.0
10.11.2024,146,127,118,38.0,1.0
10.11.2024,114,97,91,35.9,2.0
