GroundTruth_Lat,GroundTruth_Lon,ImageFile,Distance
,,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0661.TIF,
34.0435326,-117.8113123,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481186.386230474
34.0435407,-117.8113324,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481184.460669843
34.0435396,-117.8113418,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481183.955743514
34.0436146,-117.8114669,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481169.981524767
34.0435812,-117.811489,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481171.288131151
34.0435801,-117.8114863,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481171.547754938
34.0435579,-117.8114424,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481176.118237656
34.0435093,-117.811371,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481184.562854007
34.0434854,-117.8113519,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481187.703903707
34.0435234,-117.8114149,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481180.64789308
34.043581,-117.8114893,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481171.285361072
34.0435607,-117.8115172,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481171.16532164
34.0435471,-117.8115188,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481172.164853187
34.0435465,-117.8114984,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481173.502406199
34.0434937,-117.81143,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481182.097366141
34.0434726,-117.8113965,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481185.921694553
34.0434593,-117.8113924,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481187.257109288
34.0435209,-117.8114923,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481175.95961439
34.0435193,-117.8115413,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481172.992981397
34.0433659,-117.8115061,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481187.631583147
34.0434384,-117.8116308,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481173.884938972
34.0434137,-117.8115611,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481180.287954355
34.0433556,-117.8115597,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481185.078365372
34.0433693,-117.8116687,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481177.0823385
34.0433809,-117.8116848,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481175.126268238
34.043434,-117.8116781,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481171.252314165
34.043372,-117.8116677,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481176.927017905
34.0433373,-117.8116814,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481178.869583355
34.0432534,-117.8116489,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481187.71304079
34.0432234,-117.811608,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481192.725220034
34.0432801,-117.8116144,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481187.732179755
34.0433137,-117.8116741,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481181.240755921
34.0433448,-117.8117163,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481176.057415554
34.0433231,-117.8117445,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481176.031706177
34.0433062,-117.8117223,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481178.802135121
34.0432901,-117.8117042,M:/Workz/CPP Canvas/CS6910RA/CPP_Drone_Strawberry_F23/20240920_Strawberry_Multispectral\DJI_0902.TIF,10481181.248757243
