Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll ,MCARI,RDVI,MSAVI,SAVI
-117.8113123,34.0435326,N=1,0.18,0.05,0.2,3,28.3,0.01872,-0.27106873827419725,-0.19999999999999996,-0.2671232876712329
-117.8113324,34.0435407,N=2,0.15,0.09,0.1,3,16.2,0.0072,-0.1224744871391589,-0.09417833932389297,-0.12162162162162163
-117.8113418,34.0435396,N=3,0.18,0.07,0.3,2,24.9,0.015839999999999996,-0.21999999999999997,-0.16817342135842306,-0.21999999999999997
-117.8114669,34.0436146,N=4,0.15,0.03,0.2,3,25.6,0.0144,-0.282842712474619,-0.19173402303064524,-0.2647058823529412
-117.811489,34.0435812,N=5,0.11,0.0,0.1,5,9.6,0.00968,-0.33166247903554,-0.18556546004010444,-0.27049180327868855
-117.8114863,34.0435801,N=6,0.36,0.0,0.2,2,28.3,0.10368,-0.6,-0.4848857801796105,-0.627906976744186
-117.8114424,34.0435579,N=7,0.23,0.03,0.3,3,31.0,0.0368,-0.39223227027636803,-0.29516664983505003,-0.39473684210526316
-117.811371,34.0435093,N=8,0.34,0.06,0.2,2,25.8,0.07616000000000002,-0.44271887242357316,-0.3746657156438339,-0.4666666666666667
-117.8113519,34.0434854,N=9,0.32,0.08,0.2,2,31.3,0.06144,-0.3794733192202055,-0.3235485598461214,-0.4
-117.8114149,34.0435234,N=10,0.23,0.09,0.2,2,37.4,0.02576,-0.24748737341529167,-0.20252760204298248,-0.25609756097560976
-117.8114893,34.043581,N=11,0.21,0.04,0.1,3,25.8,0.028559999999999995,-0.33999999999999997,-0.254732659452221,-0.33999999999999997
-117.8115172,34.0435607,N=12,0.31,0.02,0.2,3,28.4,0.07192,-0.5048252022715237,-0.40217135067188026,-0.5240963855421686
-117.8115188,34.0435471,N=13,0.28,0.02,0.2,3,21.5,0.05824000000000001,-0.47469288317114394,-0.3690444308357147,-0.48750000000000004
-117.8114984,34.0435465,N=14,0.25,0.08,0.3,2,25.1,0.033999999999999996,-0.2959320151246863,-0.24243540779808348,-0.30722891566265054
