Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health,Chlorophyll
-117.8113096,34.0435282,N=1,28,7,.4,2,38.2
-117.8113619,34.0435651,N=2,17,1,.1,2,36.6
-117.8114347,34.0436087,N=3,27,6,.3,1,36
-117.8114622,34.0436232,N=4,24,3,.1,2,39.2
-117.8114689,34.0436371,N=5,29,3,.1,1,38
-117.811497,34.0436248,N=6,23,9,.0,2,35.9
-117.8114749,34.0436135,N=7,22,3,.2,3,36.6
-117.8114474,34.0435912,N=8,24,1,.0,1,40
-117.8114642,34.0435779,N=9,29,4,.0,2,38.3
-117.8114162,34.0435426,N=10,14,8,.2,2,39.1
-117.8113596,34.0434948,N=11,11,7,.0,2,36.5
-117.8113804,34.0434637,N=12,19,3,.3,2,40.2
-117.8114136,34.0434898,N=13,21,2,.1,1,34.4
-117.8114665,34.0435226,N=14,23,5,.1,1,37.1
-117.8115091,34.0435543,N=15,20,0,.0,2,40.5
-117.8115534,34.0435701,N=16,31,6,.4,2,43
-117.811541,34.0435612,N=17,30,6,.1,1,46.1
-117.8114809,34.0435212,N=18,21,7,.6,3,34.6
-117.8114618,34.0435098,N=19,28,1,.4,2,37.1
-117.8114193,34.0434759,N=20,31,2,.1,1,40.5
-117.8114303,34.0434537,N=21,6,3,.0,3,43
-117.8114199,34.0434298,N=22,19,3,.0,2,46.1
-117.8114551,34.0434498,N=23,23,9,.1,1,34.6
-117.8115118,34.0434837,N=24,24,7,.4,2,36.2
-117.8115396,34.0434665,N=25,29,1,.4,3,40.3
-117.8115379,34.0435073,N=26,28,6,.2,2,32.5
-117.8115346,34.0435129,N=27,20,0,.2,2,41.1
-117.8115685,34.0435398,N=28,31,6,.0,2,36.6
-117.8115788,34.043534,N=29,20,7,.0,1,40.1
-117.81155,34.043514,N=30,20,6,.0,1,33.4
-117.8115091,34.0434887,N=31,19,7,.0,1,35.4
-117.8114746,34.0434673,N=32,28,6,.5,1,44.2
-117.8114243,34.0434354,N=33,37,9,.0,1,41
-117.8114437,34.0433973,N=34,9,2,.3,2,42.5
-117.8114846,34.043409,N=35,61,6,.1,2,37.5
-117.8115343,34.0434629,N=36,14,0,.0,2,37.9
-117.8116278,34.0434507,N=37,18,3,.6,3,43.1
-117.8116389,34.043459,N=38,14,5,.3,3,37.1
-117.8116526,34.0434143,N=39,15,6,.2,1,38.7
-117.8115913,34.0433648,N=40,25,5,.1,2,37.2
-117.8115859,34.0432979,N=41,31,7,.4,3,40.3
-117.8116338,34.0432992,N=42,16,6,.0,1,38
-117.8116556,34.0433134,N=43,27,5,.2,2,40.9
-117.8117049,34.0433554,N=44,12,8,.0,2,47.6
-117.8116627,34.0433601,N=45,30,7,.7,2,43.7
-117.8116181,34.0433818,N=46,30,5,.7,1,36.6
-117.8115624,34.0434018,N=47,27,4,.5,1,35.6
-117.8115091,34.0434318,N=48,11,2,.0,1,38
-117.8114323,34.0434873,N=49,30,0,.0,2,37.8
-117.8113569,34.0434926,N=50,0,6,.0,1,35.7
