epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6737,2.13379,2.30224,1.57866,0.00675,0.22343,0.00388,0.00171,2.99308,620.467,22.0704,0.000548543,0.000548543,0.000548543
2,101.325,2.10676,1.86512,1.60426,0.24059,0.43794,0.14317,0.05949,2.14153,151.333,2.01408,0.00109328,0.00109328,0.00109328
3,137.355,2.1251,1.87148,1.64691,0.40477,0.55076,0.42478,0.16742,2.07757,4.32085,1.96798,0.00162701,0.00162701,0.00162701
4,180.359,2.09618,1.77436,1.60371,0.48155,0.47915,0.40778,0.16177,2.07641,2.33049,1.75018,0.00161749,0.00161749,0.00161749
5,220.688,2.09868,1.79565,1.61208,0.29209,0.54206,0.38675,0.14653,2.07829,2.68835,1.75546,0.00160099,0.00160099,0.00160099
6,268.295,2.02454,1.73082,1.5557,0.44929,0.52754,0.48254,0.20713,1.95462,2.07664,1.66295,0.00158448,0.00158448,0.00158448
7,303.298,2.03521,1.66726,1.57815,0.37925,0.46071,0.41237,0.15835,2.10459,1.83474,1.74354,0.00156798,0.00156798,0.00156798
8,357.339,1.99042,1.65697,1.53961,0.52337,0.52524,0.49523,0.19242,2.00949,1.65294,1.67467,0.00155148,0.00155148,0.00155148
9,410.964,1.96811,1.61727,1.53155,0.40305,0.58606,0.50695,0.21177,1.91785,1.73088,1.61646,0.00153497,0.00153497,0.00153497
10,458.855,1.96233,1.61382,1.53272,0.52094,0.55892,0.50088,0.20392,1.99458,1.5241,1.67037,0.00151847,0.00151847,0.00151847
11,513.066,1.93439,1.56082,1.5337,0.55652,0.58351,0.56771,0.23625,1.92581,1.48469,1.62745,0.00150197,0.00150197,0.00150197
12,560.309,1.92368,1.5468,1.50589,0.51261,0.61391,0.55513,0.21762,2.02809,1.4642,1.68289,0.00148546,0.00148546,0.00148546
13,610.886,1.92136,1.54424,1.51389,0.5216,0.58899,0.54907,0.22445,2.02927,1.4416,1.68567,0.00146896,0.00146896,0.00146896
14,645.08,1.88531,1.46364,1.47715,0.48365,0.55806,0.53341,0.22632,1.96098,1.54023,1.63151,0.00145246,0.00145246,0.00145246
15,683.448,1.87294,1.48452,1.4626,0.55847,0.54934,0.56154,0.22753,1.95249,1.52966,1.65268,0.00143595,0.00143595,0.00143595
16,726.005,1.8732,1.48406,1.48032,0.54484,0.5084,0.49686,0.20326,2.00858,1.5275,1.67901,0.00141945,0.00141945,0.00141945
17,767.861,1.83844,1.44247,1.46107,0.54206,0.59456,0.5607,0.24051,1.93788,1.37562,1.61779,0.00140295,0.00140295,0.00140295
18,810.353,1.84138,1.44583,1.47724,0.58715,0.5493,0.53564,0.22144,1.97479,1.47869,1.65235,0.00138644,0.00138644,0.00138644
19,876.086,1.84832,1.42643,1.46739,0.49743,0.58898,0.52952,0.21954,1.91917,1.42264,1.6257,0.00136994,0.00136994,0.00136994
20,926.33,1.84185,1.43737,1.46034,0.50081,0.6475,0.54977,0.2349,1.98596,1.43031,1.6437,0.00135344,0.00135344,0.00135344
21,977.007,1.83205,1.42923,1.4483,0.5294,0.60645,0.52638,0.22476,1.92209,1.41011,1.61589,0.00133693,0.00133693,0.00133693
22,1012.27,1.78611,1.38119,1.44071,0.56497,0.59291,0.56477,0.23856,1.93804,1.36591,1.62663,0.00132043,0.00132043,0.00132043
23,1047.91,1.80064,1.3704,1.44791,0.52301,0.61268,0.57612,0.2466,1.90866,1.4161,1.62039,0.00130393,0.00130393,0.00130393
