Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Name: CM 1000 S                       ,,,,,,,
Serial #:  1049 ,,,,,,,
Datum: WGS 84,,,,,,,
Longitude,Latitude,No.,Red %,NIR %,NDVI,Plant health ,Chlorophyll
34.0435346,-117.811313,,,,,3,16.1
34.0435457,-117.8113311,,,,,3,28.4
34.0435679,-117.8113639,,,,,2,26.6
34.0435921,-117.8114022,,,,,2,17.3
34.043624,-117.8114535,,,,,4,21.9
34.0436065,-117.8114635,,,,,4,25.7
34.0436051,-117.8114712,,,,,5,2.4
34.0436021,-117.8115071,,,,,2,24.4
34.0435746,-117.8114789,,,,,2,27.1
34.0435379,-117.8114276,,,,,3,30
34.0435065,-117.8113834,,,,,3,27.6
34.0435815,-117.8114923,,,,,3,23.7
34.0435546,-117.8115235,,,,,4,28.1
34.0435412,-117.8115037,,,,,2,19.5
34.0434229,-117.8114622,,,,,2,14.8
34.043439,-117.8115037,,,,,3,19.6
34.0434476,-117.8115265,,,,,3,20.2
34.0434748,-117.8115685,,,,,3,24.3
34.0434379,-117.8116157,,,,,4,21.4
34.0434059,-117.8115742,,,,,3,20.9
34.0433934,-117.8115571,,,,,3,18.6
34.0433756,-117.8115306,,,,,2,23
34.0433968,-117.8114374,,,,,2,23.6
34.0434137,-117.8114799,,,,,3,22.5
34.0434759,-117.8115527,,,,,3,26.9
34.0434662,-117.8115628,,,,,3,25.2
34.0434523,-117.8116211,,,,,4,25.3
34.0433726,-117.8115389,,,,,3,21.9
34.0433945,-117.8115671,,,,,3,27.1
34.0433845,-117.8116003,,,,,3,20.8
34.043402,-117.8116395,,,,,4,26.7
34.0433754,-117.8116878,,,,,3,22.7
34.0432709,-117.8115752,,,,,4,23.7
34.0432773,-117.811605,,,,,4,19.5
34.0433401,-117.8116949,,,,,2,21.9
34.0433184,-117.8117257,,,,,2,19.8
34.0432454,-117.8116358,,,,,3,25.3
34.0432251,-117.8116147,,,,,2,27.4
34.043232,-117.8116355,,,,,4,22.3
34.0432604,-117.8116808,,,,,3,21.7
34.0433065,-117.8117394,,,,,3,26.9
34.0432687,-117.811782,,,,,2,22.4
34.0431901,-117.8118192,,,,,4,22.6
34.0431456,-117.8117418,,,,,3,22.7
34.0431615,-117.8116737,,,,,2,23.4
34.0431867,-117.8116586,,,,,2,23.9
34.0432192,-117.8116184,,,,,4,24.7
34.0432481,-117.8115859,,,,,3,23.2
34.0433159,-117.8115192,,,,,3,27.8
34.043342,-117.8114923,,,,,2,19.9
